batter,p1_10_runs,p1_10_balls,p1_10_dismissals,p1_10_sr,p1_10_dot_pct,p10_40_runs,p10_40_balls,p10_40_dismissals,p10_40_sr,p10_40_dot_pct,p40plus_runs,p40plus_balls,p40plus_dismissals,p40plus_sr,p40plus_dot_pct,pp_runs,pp_balls,pp_dismissals,pp_sr,pp_dot_pct,mid_runs,mid_balls,mid_dismissals,mid_sr,mid_dot_pct,death_runs,death_balls,death_dismissals,death_sr,death_dot_pct
SE Marsh,670,623,20,102.9324638,55.18173913,1496,1042,29,133.695,37.1412,323,206,13,142.8789474,29.34,779,735,20,102.2848438,55.408125,1448,972,28,137.3576,34.4778,262,164,14,153.39,37.03190476
Shakib Al Hasan,444,392,24,100.7965385,49.24923077,331,238,15,127.2878261,39.8773913,20,9,0,222.22,11.11,37,38,2,85.9825,55.8925,429,366,15,111.3021212,46.82727273,329,235,22,114.07,44.85323529
JP Faulkner,363,286,17,128.0388889,37.36866667,164,104,8,149.5678571,43.55142857,,,,,,14,20,4,41.8275,69.7125,74,86,3,81.93166667,59.28166667,439,284,19,145.13,30.78179487
MG Johnson,153,153,11,92.74071429,50.26892857,14,11,2,125,55,,,,,,,,,,,10,20,2,48,73,157,144,11,100.35,46.66
K Rabada,202,177,14,110.4241176,53.65529412,60,62,4,94.52428571,60.91142857,,,,,,1,3,0,33.33,100,74,80,3,64.08333333,68.66222222,187,156,15,105.49,55.75258065
Kuldeep Yadav,163,199,10,83.02853659,53.23195122,47,54,4,83.835,49.70625,,,,,,,,,,,23,44,0,57.83833333,64.105,187,209,14,82.92,52.99341463
UT Yadav,200,192,19,93.49541667,54.20125,8,9,1,90,52.5,,,,,,,,,,,3,13,1,29.16666667,70.83333333,205,188,19,95.06,53.50638298
Washington Sundar,523,412,20,119.0811864,43.80966102,365,244,21,125.5959259,44.9362963,,,,,,60,47,1,111.4283333,49.13833333,348,301,13,104.5403125,39.558125,480,308,27,133.00,43.92444444
KV Sharma,263,229,19,112.981,39.7495,89,66,5,119.35,41.03125,,,,,,7,9,1,87.5,37.5,97,105,6,81.85545455,41.01727273,248,181,17,127.13,36.63818182
MJ Guptill,158,110,5,124.8638462,52.14076923,113,85,6,96.07125,57.96625,0,2,1,0,100,219,157,9,115.5746154,53.66846154,52,40,3,97.97,47.115,,,,,
IK Pathan,701,609,23,117.5934146,39.13134146,449,341,26,114.3335,42.425,,,,,,92,69,3,126.5775,44.62,395,437,19,83.1236,40.4894,663,444,27,143.73,35.85142857
LMP Simmons,228,261,7,81.63793103,69.10931034,701,487,9,132.0240909,46.61,150,104,10,153.8183333,40.505,542,460,11,101.98,63.58793103,481,356,12,137.3170588,38.90647059,56,36,3,165.53,27.524
MN Samuels,57,101,6,54.385,59.78214286,104,71,5,123.2016667,42.58666667,,,,,,9,25,1,31.845,80.9525,127,130,9,71.05636364,57.30909091,25,17,1,122.22,13.89
R Tewatia,761,625,30,126.4241758,41.3121978,540,315,22,148.6477778,42.92388889,1,3,1,33.33,100,6,9,1,61.11,72.22333333,391,388,14,96.27119048,42.06261905,905,546,38,152.68,40.21539474
SS Tiwary,575,600,20,95.23068493,45.59876712,895,631,27,133.8734884,34.99069767,24,13,2,200,20,169,161,3,97.02210526,52.99052632,871,768,28,106.3014,43.2716,454,315,18,127.13,33.55425
PP Chawla,550,474,38,105.5027907,51.15674419,74,89,15,89.14529412,50.59294118,,,,,,15,13,1,123.75,61.25,156,177,8,80.79545455,49.70545455,453,373,44,103.21,51.98558442
E Lewis,272,219,8,111.3553846,57.64653846,375,251,13,131.6423529,51.09235294,7,7,3,111.11,72.22333333,420,286,13,125,55.43181818,202,170,10,101.7383333,52.07,32,21,1,112.63,62.12
DJ Bravo,868,725,40,121.9708182,43.69218182,659,444,27,147.2839024,38.87268293,33,35,1,98.92,41.61,123,110,5,103.3506667,57.91066667,528,572,24,84.72358491,54.10679245,909,522,39,157.76,33.605125
C Munro,97,89,4,96.81818182,58.28272727,80,52,5,171.0316667,36.11,,,,,,131,91,4,118.88875,51.2875,42,45,5,83.98,50.03333333,4,5,0,80.00,60
KL Rahul,1611,1366,26,113.8248993,50.9914094,3174,2253,75,132.1103361,36.81268908,1043,569,24,172.7007143,30.03261905,2437,1892,43,120.6801481,47.45422222,2484,1789,52,132.2539216,30.30343137,907,507,29,155.55,34.52294118
Q de Kock,1159,1021,42,107.6538983,55.09771186,1963,1338,54,139.1755844,41.92883117,322,194,12,132.4673684,32.79263158,1966,1512,60,116.7128814,53.50661017,1238,924,40,114.9536842,38.06912281,240,117,8,173.49,24.26857143
SN Khan,441,331,19,119.6297674,45.18534884,286,193,13,141.5005556,40.69111111,19,19,1,100,26.32,172,113,5,123.6506667,55.786,267,249,14,88.80071429,45.84821429,307,181,14,150.71,34.87130435
RK Singh,669,527,18,124.1591935,38.77903226,687,415,22,162.9032432,42.81891892,42,14,1,215.155,34.845,40,28,0,154.7614286,42.85714286,567,511,20,102.7825,37.33125,791,417,21,170.52,39.51536585
AD Russell,1363,909,46,137.4141228,53.09745614,1278,612,44,178.8703175,48.11111111,14,4,0,350,25,41,17,1,184.7225,53.4725,1182,777,34,129.3929762,50.815,1432,731,55,169.50,49.4712987
R Vinay Kumar,246,215,18,119.8788095,40.77928571,64,59,7,94.509,60.974,,,,,,,,,,,48,48,1,89.72,41.95125,262,226,24,120.03,43.36634146
DJM Short,32,44,4,91.42857143,60,82,52,2,155.5533333,39.04666667,1,3,1,33.33,66.67,50,60,4,101.1657143,55.61285714,65,39,3,129.06,56.30333333,,,,,
K Gowtham,230,136,16,158.0555556,52.33703704,17,12,2,183.334,38.332,,,,,,8,5,1,100,112.5,75,55,7,96.13090909,52.47090909,164,88,10,180.86,50.72
S Gopal,141,128,9,94.94590909,47.24,39,41,3,90.192,47.116,,,,,,0,4,0,0,100,45,61,3,71.85285714,51.78571429,135,104,9,96.79,48.00789474
TK Curran,60,62,2,106.111,44.333,67,45,3,135.9875,26.97,,,,,,,,,,,58,57,1,111.515,35.445,69,50,4,128.64,40.10888889
R Ashwin,570,526,43,102.6724731,46.24354839,263,179,18,109.7978261,44.07695652,,,,,,78,73,6,86.934,67.082,279,276,16,74.52483871,51.17774194,476,356,39,117.24,41.28571429
Shubman Gill,1409,1136,34,119.6226154,46.95753846,2687,1806,55,136.4337778,35.83044444,502,294,22,170.2570968,31.46645161,2044,1519,43,125.9539831,45.97364407,2080,1413,44,129.5255556,31.62209877,474,304,24,148.03,37.38825
M Vijay,950,932,27,96.07333333,57.13961905,1485,1108,58,113.1478947,50.07460526,184,109,8,137.73,47.36727273,1574,1375,48,103.7465686,54.75137255,920,703,40,104.8235185,45.50055556,125,71,5,160.55,30.38777778
Mohammed Siraj,97,126,9,69.41565217,66.08130435,20,13,2,183.334,36.666,,,,,,,,,,,5,10,0,50,80,112,129,11,71.98,65.42478261
H Klaasen,804,554,11,142.6368333,34.37733333,1257,685,33,176.9066667,28.56041667,43,23,5,145.454,38.484,110,84,3,123.2613333,46.34066667,1256,795,19,144.5781481,32.52166667,738,383,27,174.28,30.12891892
JC Archer,276,197,21,115.6715,45.904,50,28,3,203.235,27.84333333,,,,,,0,4,1,0,100,60,53,5,126.833,43.167,266,168,18,122.72,42.60323529
PP Shaw,862,631,37,124.7282278,53.89936709,992,628,34,127.3321951,44.14658537,38,24,5,76.334,74,1347,919,50,127.7559494,51.71012658,515,343,23,124.0077778,39.33814815,30,21,3,75.71,67.14333333
AD Hales,66,54,3,118.7033333,54.63,82,64,3,129.2,31.06,,,,,,114,81,3,124.5233333,50.555,34,37,3,78.57333333,35.71333333,,,,,
MK Lomror,299,237,18,112.3808571,48.34942857,228,136,11,145.3384615,40.89692308,,,,,,31,38,3,89.89625,63.055,266,193,11,125.76875,33.17375,230,142,15,131.22,47.05666667
JP Duminy,717,673,18,105.8446667,40.83813333,1165,879,25,126.2523077,31.35807692,147,84,5,156.709,25.203,235,239,6,91.0048,61.0492,912,877,17,100.0018333,34.6065,882,520,25,151.87,26.18862745
MM Ali,548,456,21,106.8589831,55.04779661,603,362,29,157.5545161,37.67935484,16,17,1,94.12,47.06,233,192,8,87.03869565,66.42652174,655,484,28,117.7912821,41.55307692,279,159,15,158.88,47.4547619
HV Patel,223,212,24,96.99318182,56.35886364,57,26,4,194.6928571,35.98571429,,,,,,,,,,,67,76,6,79.28615385,56.66153846,213,162,22,106.96,53.30783784
Abhishek Sharma,1095,704,35,139.1480899,50.26842697,1175,629,41,175.7291837,43.19918367,109,56,4,127.952,51.808,1387,807,35,151.1680882,51.445,796,455,34,161.3808889,35.82622222,196,127,11,131.11,41.62833333
SP Goswami,128,143,10,76.98380952,67.14238095,160,144,7,104.347,36.506,5,8,2,58.335,41.665,163,167,8,84.665625,60.853125,104,106,7,69.309,51.98,26,22,4,86.54,76.282
SO Hetmyer,900,684,30,125.0823529,45.43682353,656,358,25,166.5746154,40.22333333,10,7,1,142.86,42.86,74,71,4,94.78777778,56.57333333,536,422,14,108.2577778,42.88703704,956,556,38,149.61,43.85757576
S Dube,970,768,24,120.9856322,45.8662069,1141,688,43,147.3005172,46.29258621,18,8,0,200,16.665,37,46,0,85.69416667,59.58416667,1328,963,37,120.9105195,43.12233766,764,455,30,154.31,45.72163265
JM Bairstow,620,456,15,131.1288462,52.24134615,929,617,28,142.0377778,40.08444444,125,73,4,193.905,28.23,944,625,19,137.894898,50.47795918,655,466,21,107.853871,46.01548387,75,55,7,120.42,49.75
CA Ingram,123,111,7,107.1293333,46.09533333,82,69,5,101.0066667,36.56,,,,,,14,18,1,75.55666667,51.11,128,120,6,78.46222222,53.94555556,63,42,5,141.11,35.30714286
N Pooran,1112,818,39,128.5723,50.5901,1414,724,40,187.3942857,38.07803571,1,1,0,100,0,228,153,9,112.8743478,60.59565217,1420,895,40,126.91175,49.59,879,495,30,167.71,42.30830189
GH Vihari,123,178,11,70.85913043,55.38826087,152,137,8,97.95333333,34.91444444,9,6,0,150,16.67,59,90,4,67.02454545,57.13545455,145,161,6,79.245,51.23083333,80,70,9,101.18,34.63
SM Curran,469,400,20,112.7258491,45.70169811,492,309,17,135.3061538,44.91846154,36,22,3,150,35.7125,147,130,6,97.72388889,47.21611111,394,350,15,99.45212121,41.26242424,456,251,19,157.89,41.065
R Parag,881,693,33,121.4430233,45.50372093,908,563,33,130.6527083,49.955,90,46,5,202.9166667,29.58333333,191,138,6,108.0952381,62.33333333,1117,808,29,129.6111111,36.84952381,571,356,36,142.24,48.4504
MJ Santner,111,101,4,95.58142857,48.59761905,25,22,4,76.666,72.668,,,,,,20,24,2,91.11,75.555,22,30,1,76.0425,41.665,94,69,5,103.06,46.74
LS Livingstone,483,376,22,113.8034694,48.32489796,562,299,17,165.99,47.60666667,21,12,2,137.5,50,179,135,9,116.5652632,51.95578947,542,393,18,104.3914706,50.09970588,345,159,14,196.35,44.836
Harpreet Brar,181,153,7,122.7985185,48.99148148,68,53,5,142.052,41.813,,,,,,,,,,,40,54,4,65.581,52.273,209,152,8,140.74,44.80782609
SE Rutherford,275,207,10,123.7255556,51.50333333,245,157,11,147.2173333,40.57933333,,,,,,4,16,1,16.665,87.5,250,183,5,118.4342105,49.53368421,266,165,15,149.83,44.7752381
Gurkeerat Singh,255,239,11,95.7440625,49.025,246,175,12,140.2389474,34.82736842,10,8,1,125,50,35,37,1,101.2966667,60.34666667,225,223,10,93.27130435,42.4773913,251,162,13,130.25,40.8055
P Simran Singh,754,546,24,126.3064615,52.44676923,1006,592,33,162.7495122,40.31121951,105,51,5,176.866,26.444,1152,753,30,133.0953226,50.74032258,634,392,28,133.8384848,42.25909091,79,44,4,156.76,31.782
D Padikkal,943,762,27,112.771573,54.22685393,1273,896,51,130.7687097,41.34080645,54,47,6,90.47714286,47.62,1074,804,31,113.1968493,54.75534247,1058,804,40,120.4423214,38.49446429,138,97,13,102.06,61.1
YBK Jaiswal,1054,685,29,142.0736585,55.37146341,1380,931,40,151.1803774,38.35943396,159,81,7,179.4411111,42.00666667,1680,1057,40,141.5847561,54.86243902,825,598,33,122.1758537,39.58658537,88,42,3,203.56,25.112
RD Gaikwad,794,721,22,101.8314286,57.4427381,1634,1134,37,137.7839344,34.38327869,411,238,13,151.4195455,35.04090909,1394,1088,34,115.7728395,52.29938272,1149,836,28,119.6402,33.7542,296,169,10,158.42,34.165
Abdul Samad,621,413,26,133.2322414,41.91775862,238,165,18,136.6663636,46.66,,,,,,2,2,1,100,50,305,251,13,115.2016216,44.52459459,552,325,30,150.46,38.85066667
JO Holder,265,220,22,107.7835294,49.04823529,59,43,4,122.66,49.84,,,,,,12,21,2,52.38,86.90333333,85,69,4,99.562,46.929,227,173,20,109.65,48.63555556
PK Garg,159,155,9,91.54736842,46.33684211,114,86,9,98.647,45.495,,,,,,51,51,3,84.818,60.548,157,150,9,98.88384615,36.72230769,65,40,6,83.45,53.33285714
Shahbaz Ahmed,337,297,16,108.80875,43.1875,266,192,12,116.9094737,45.60947368,,,,,,21,26,3,65.92666667,58.70333333,267,249,6,100.64625,47.82791667,315,214,19,127.25,43.62612903
DW Steyn,153,148,17,94.84818182,50.08424242,14,12,3,108.3325,37.5,,,,,,,,,,,4,9,1,44.44666667,66.66666667,163,151,19,98.54,47.966875
N Jagadeesan,55,71,5,60.333,68.417,107,76,4,155.584,39.48,,,,,,64,61,5,71.63375,68.67,87,73,4,105,47.462,11,13,0,84.62,46.15
MR Marsh,616,502,19,111.8675806,55.86290323,1074,651,30,149.5525,41.8835,165,96,7,141.6528571,41.73142857,839,537,18,130.7344444,51.79622222,776,555,19,122.9273684,42.18631579,240,157,19,137.85,49.61409091
M Jansen,141,134,12,91.5908,52.876,51,40,3,102.0366667,50.74,,,,,,,,,,,36,38,2,76.167,48.333,156,136,13,95.60,54.00521739
RM Patidar,605,454,12,128.8461538,43.31980769,961,510,34,179.5376316,34.33210526,46,16,1,292.855,39.285,243,215,4,100.1421429,48.63285714,1102,641,27,169.8165217,32.335,267,124,16,163.80,49.76894737
M Shahrukh Khan,517,363,23,151.5781132,44.23169811,258,161,11,131.8806667,37.06666667,,,,,,23,21,0,74.858,64,354,263,13,116.6364286,55.0425,398,240,21,168.20,35.47263158
Lalit Yadav,127,156,9,79.60857143,51.74619048,178,134,6,122.169,41.043,,,,,,25,32,0,85.436,57.642,186,178,10,83.6875,47,94,80,5,121.03,44.533
KS Bharat,68,67,3,95,56.25,107,84,4,115.95,34.672,24,12,0,200,25,65,59,2,106.16125,48.125,102,85,4,97.93833333,44.33166667,32,19,1,127.09,29.165
VR Iyer,686,531,18,128.8612903,47.17225806,942,614,30,131.5609524,43.26690476,49,36,5,99.95833333,49.79,691,499,22,133.8427907,50.77093023,769,547,18,126.4864865,34.1,217,135,13,140.49,38.81666667
GD Phillips,115,91,7,116.2330769,47.97923077,17,18,4,82.74,57.1425,,,,,,4,12,0,40,70,52,51,7,89.10375,44.40125,76,46,4,159.86,44.015
AK Markram,703,574,18,114.655303,38.33181818,966,654,36,134.4595556,35.06977778,2,6,1,60,40,486,375,15,102.385,51.07475,889,695,29,121.5712766,28.4706383,296,164,11,165.07,34.78772727
Anmolpreet Singh,76,63,5,107.6544444,55.92555556,63,52,4,98.81,56.1275,,,,,,116,91,6,108.99,59.63625,23,24,3,92.96333333,34.44333333,,,,,
Anuj Rawat,151,146,8,90.79380952,58.01571429,153,114,6,153.6366667,38.85166667,14,7,0,200,57.14,83,88,7,62.676,76.096,93,98,5,79.43181818,50.18636364,142,81,2,171.62,32.82222222
TH David,714,449,21,142.6364407,42.62050847,437,201,13,204.0496296,35.55444444,,,,,,,,,,,308,218,6,118.3067742,38.77677419,843,432,28,160.15,47.49714286
DP Conway,293,248,7,106.2403571,55.89285714,658,444,13,124.6133333,40.16714286,129,81,4,147.6875,30.44125,463,368,11,106.7517857,54.315,521,342,8,139.8017647,32.17823529,96,63,5,108.69,42.03333333
Tilak Varma,705,561,17,119.8090769,41.44692308,1099,702,31,150.0315556,36.27044444,54,21,2,220,38,192,164,6,102.7212,49.3648,1123,846,24,121.4134545,36.29781818,543,274,20,176.92,36.73727273
R Powell,291,230,14,113.2773333,52.917,264,160,10,168.958,45.92333333,,,,,,15,13,0,104.4433333,48.89,234,215,11,89.51291667,54.01458333,306,162,13,165.18,47.66263158
PBB Rajapaksa,143,93,6,134.3338462,49.36538462,134,98,6,144.4333333,38.08833333,,,,,,77,48,4,115.1755556,63.89777778,194,135,6,127.0055556,37.10222222,6,8,2,73.34,36.665
A Badoni,546,457,18,109.9814286,48.11071429,632,378,26,129.6060606,43.17878788,0,1,1,0,100,124,99,5,80.44,70.814,516,410,17,108.8264865,38.74810811,538,327,23,152.19,38.14588235
MS Wade,123,111,7,107.0807143,54.44428571,60,66,6,75.42333333,50.395,,,,,,113,98,5,108.314,60.214,70,79,8,82.5725,42.0275,,,,,
A Manohar,140,135,10,86.298,58.3395,152,100,9,134.2022222,46.77444444,,,,,,12,18,1,50,75,132,123,6,94.82615385,46.43923077,148,94,12,114.83,59.09923077
R Shepherd,205,124,7,130.9942105,50.10210526,63,29,4,175.3571429,56.42857143,,,,,,,,,,,73,52,3,101.0316667,54.74833333,195,101,8,151.38,50.77125
JM Sharma,725,481,28,141.1567797,44.98508475,382,245,20,129.1851852,48.50185185,,,,,,13,23,3,74.602,44.064,615,440,23,122.7569767,42.13255814,479,263,22,167.32,48.17121212
D Brevis,261,207,7,110.8066667,52.28833333,345,208,17,138.2835294,48.48588235,,,,,,87,76,3,82.96769231,52.20846154,431,298,15,129.1915,45.135,88,41,6,127.08,59.72166667
B Sai Sudharsan,727,544,8,131.1947368,44.38052632,1533,1006,31,135.2969388,36.40530612,255,136,12,156.20875,35.833125,1021,737,14,128.5555769,47.54346154,1186,800,23,142.4526829,26.26926829,308,149,14,173.85,33.82105263
Ramandeep Singh,245,169,8,138.3123077,38.11961538,54,36,8,146.0175,53.25125,,,,,,2,3,0,66.67,66.67,125,112,10,106.5492308,43.65769231,172,90,6,173.81,31.671875
SS Prabhudessai,97,79,5,108.65,55.429,29,27,4,85,65,,,,,,8,12,0,80,40,94,74,6,113.9125,49.8425,24,20,3,81.39,78.35666667
Aman Hakim Khan,64,62,7,103.112,61.361,48,38,1,135,46.665,3,4,1,75,50,4,5,0,80,80,52,58,1,113.525,46.35,59,41,8,113.52,56.75888889
DJ Mitchell,178,137,2,126.4446667,31.33333333,173,130,11,108.7508333,38.08166667,,,,,,97,78,2,105.7988889,46.21444444,208,151,9,125.507,27.256,46,38,2,116.15,17.64
Shashank Singh,471,321,16,133.8352381,42.01357143,434,239,8,173.773,34.0285,,,,,,34,25,1,167.5,50.4175,359,273,10,112.9448276,41.29551724,512,262,13,162.59,35.94466667
R Dhawan,142,131,6,121.2377273,38.68636364,68,56,4,99.27,53.22875,,,,,,,,,,,42,55,2,84.613,53.637,168,132,8,139.98,32.34789474
T Stubbs,397,337,11,106.2090698,39.42976744,577,305,10,197.36125,20.4525,12,7,0,171.43,0,46,41,2,145.4111111,49.39111111,394,333,10,94.36294118,35.39647059,546,275,9,179.15,24.35689655
Sikandar Raza,91,72,2,120.6866667,44.23333333,91,63,4,117.998,43.668,0,1,1,0,100,8,9,0,57.145,64.285,127,93,4,132.395,42.08333333,47,34,3,127.46,46.508
Rahmanullah Gurbaz,177,144,5,101.975,69.53722222,183,121,11,121.2975,50.7425,3,4,1,75,50,252,195,12,104.7323529,67.65470588,111,73,4,154.1,36.992,0,1,1,0.00,100
KR Mayers,137,115,2,105.3846154,70.25615385,241,146,10,137.9054545,48.83818182,1,2,1,50,50,282,205,8,110.8784615,66.28153846,97,58,5,108.928,45.716,,,,,
RR Rossouw,231,160,10,113.8995455,59.08727273,242,148,10,160.3666667,39.16666667,,,,,,139,99,8,107.6523077,62.36692308,252,170,10,123.5321429,49.27071429,82,39,2,204.11,23.6475
HC Brook,81,78,5,81.23363636,66.10363636,78,61,4,127.8966667,46.37,31,15,0,206.67,6.67,96,84,4,100.2571429,61.25142857,58,45,4,80.19166667,60.915,36,25,1,100.00,47.22333333
C Green,401,313,11,120.337381,38.44571429,595,343,13,169.3208696,31.66826087,33,25,2,192.6966667,33.65,257,171,6,130.6428,40.1312,507,365,17,120.4314286,38.32357143,265,145,3,169.27,20.81823529
N Wadhera,341,287,16,116.0872973,50.72081081,419,260,13,155.49,41.24105263,24,13,3,72.72666667,72.72666667,53,50,1,114.732,59.225,577,420,15,123.3454839,47.59806452,154,90,16,143.66,49.80789474
Arshad Khan,85,62,5,110,47.5925,57,33,1,127.7766667,54.58666667,,,,,,,,,,,54,36,2,140.858,45.048,88,59,4,108.31,48.824
Abishek Porel,407,276,14,137.4112121,45.77818182,362,253,16,131.0464706,41.67,,,,,,382,259,12,127.2988462,52.45307692,325,234,14,130.4311765,31.32411765,62,36,4,161.59,41.27142857
Dhruv Jurel,528,381,20,122.5378431,43.77196078,659,389,15,175.9096154,29.42576923,8,5,1,133.335,50,151,93,4,126.7521429,57.78642857,559,403,17,110.2614706,41.58235294,485,279,15,160.74,28.12724138
MW Short,104,77,4,122.91,64.02,73,66,5,115.464,48.036,,,,,,138,103,6,113.87,66.64555556,39,39,2,80.33333333,38.55666667,0,1,1,0.00,100
Atharva Taide,123,84,3,140.444,54.778,135,91,6,114.7542857,53.44142857,2,2,0,100,0,157,103,5,141.567,54.796,103,74,4,142.244,31.046,,,,,
Harpreet Singh,60,66,1,93.055,36.38875,63,53,5,94.556,44.886,,,,,,30,29,0,102.7266667,59.13666667,43,52,2,72.666,41.666,50,38,4,133.77,22.142
PD Salt,495,314,14,139.406,55.80675,740,395,22,172.3261538,38.26923077,23,12,1,181.43,27.145,840,488,22,144.0460526,54.00342105,383,214,14,163.9464706,33.62529412,35,19,1,184.13,37.3
D Wiese,96,72,3,142.3481818,33.68,52,29,2,171.11,30.55666667,,,,,,,,,,,23,24,0,91.714,26.858,125,77,5,166.02,35.24888889
R Ravindra,186,148,7,110.0461111,53.50333333,207,134,9,150.666,36.444,20,5,0,400,0,275,200,10,111.7022222,50.88055556,114,78,6,156.1728571,30.55428571,24,9,0,266.67,0
SD Hope,90,70,3,129.2588889,44.81555556,93,52,4,194.5525,26.3625,,,,,,78,60,3,128.8885714,48.41428571,94,52,4,169.7375,26.4725,11,10,0,110.00,40
MA Starc,84,95,8,82.80863636,43.66863636,27,26,3,96.76666667,43.40666667,,,,,,,,,,,37,35,1,94.3375,46.695,74,86,10,81.24,42.97047619
Azmatullah Omarzai,122,86,6,122.4236364,41.91909091,29,15,4,118.215,64.6425,,,,,,,,,,,82,63,4,122.5214286,37.99571429,69,38,6,145.24,48.73
Naman Dhir,421,260,13,147.7775758,44.2169697,289,173,13,168.6044444,29.16055556,,,,,,165,116,7,116.2885714,57.39,249,164,8,145.2270588,26.69764706,296,153,11,159.10,38.975
Sameer Rizvi,130,125,9,87.05722222,61.93166667,255,150,4,169.6725,28.71625,39,18,1,224.025,39.61,18,32,3,59.18428571,76.70142857,275,196,6,96.87692308,52.41307692,131,65,5,179.79,32.57444444
SB Dubey,184,127,7,127.2735294,42.04470588,36,16,3,203.5714286,28.57142857,,,,,,14,6,0,233.33,50,55,49,4,114.6811111,31.74666667,151,88,6,147.17,40.91916667
A Raghuvanshi,358,254,8,135.639,43.73833333,500,337,15,145.3157143,30.85,27,17,1,185.32,20.63333333,283,194,6,145.8140909,51.17136364,465,330,12,120.6609091,36.49681818,137,84,6,133.42,34.043
Ashutosh Sharma,342,216,11,156.0580769,40.86576923,222,118,8,167.2007143,28.53214286,,,,,,,,,,,147,117,5,115.225,36.6775,417,217,14,187.35,38.35142857
Nithish Kumar Reddy,391,301,10,122.5508571,42.73485714,394,238,17,148.287619,43.1152381,2,2,0,100,0,75,84,4,75.44142857,59.52357143,476,337,13,118,40.35038462,236,120,10,163.04,39.98333333
WG Jacks,314,208,10,146.1857692,36.905,282,170,11,139.5808333,37.3725,6,1,0,600,0,238,155,6,134.7815789,42.82052632,291,199,13,134.3858824,34.13176471,73,25,2,230.83,26.66666667
J Fraser-McGurk,196,107,8,147.3733333,67.13533333,189,86,6,244.4133333,36.715,,,,,,298,144,10,155.138,65.80333333,87,49,4,222.1825,48.4925,,,,,
D Ferreira,171,116,8,125.05125,50.0725,149,71,3,295.8528571,26.07,6,4,1,150,50,14,11,0,127.27,54.55,120,86,3,115.496,44.859,192,94,9,156.70,48.67615385
Aniket Verma,207,137,8,144.504,45.3765,108,58,5,174.7683333,49.815,0,1,1,0,100,17,16,0,108.73,49.21,155,103,7,123.7675,46.67333333,143,77,7,182.45,39.06615385
RD Rickelton,331,221,11,146.6161538,50.23230769,465,257,12,158.2386667,41.01666667,40,19,1,164.4466667,17.77666667,554,343,13,150.9730769,46.62269231,258,141,10,130.52,46.79769231,24,13,1,129.55,29.545
V Nigam,119,67,3,146.643,39.19,38,22,3,134.1275,51.825,,,,,,20,8,0,250,25,53,33,1,157.1525,39.0375,84,48,5,139.44,41.01
Priyansh Arya,464,251,13,158.6009677,49.95387097,444,218,17,169.5361111,52.05,1,2,1,50,50,678,355,22,159.2606452,50.93516129,231,116,9,196.6788889,33.24444444,,,,,
J Overton,105,56,2,192.41125,37.97625,46,37,3,127.52,31.71,,,,,,,,,,,47,30,0,175.355,23.685,104,63,5,185.16,39.1525
Suryansh Shedge,83,63,4,123.44,40.679,82,38,3,213.41,24.08,,,,,,16,9,0,177.78,77.78,106,63,4,152.308,27.754,43,29,3,127.40,43.63166667
JP Inglis,225,140,3,157.7375,45.17875,312,168,9,204.46,35.60636364,7,6,2,137.5,62.5,307,155,5,175.0776923,47.71692308,206,137,7,130.8011111,32.32444444,31,22,2,135.42,35.4175
V Suryavanshi,401,193,5,189.4204348,50.72478261,608,249,17,237.9122222,38.85444444,19,7,1,271.43,28.57,665,293,11,196.8991304,49.97217391,334,146,11,184.6875,41.8225,29,10,1,290.00,30
A Mhatre,179,102,4,143.0769231,55.12846154,244,127,6,183.4222222,42.07888889,18,11,2,164.585,22.915,275,145,9,148.8741667,54.98666667,157,85,2,179.67,37.3875,9,10,1,92.85,23.81
JG Bethell,108,73,5,144.1266667,55.76666667,55,43,4,76.565,50.6075,,,,,,137,90,7,143.76,55.50111111,26,26,2,105.625,24.375,,,,,
Urvil Patel,143,71,6,160.043,62.5,54,25,4,188.675,47.97,,,,,,144,68,6,163.432,59.831,53,28,4,150.1625,75.9725,,,,,
S Arora,107,69,4,145.25,43,14,8,2,161.11,72.22333333,,,,,,2,1,0,200,0,31,28,2,106.6675,47.915,88,48,4,145.47,49.58875
FH Allen,163,88,6,176.9581818,49.37272727,165,68,4,223.848,36.514,21,7,0,300,28.57,207,113,9,175.9490909,50.02818182,142,50,1,288.335,21.665,,,,,
Kartik Sharma,131,95,3,135.4545455,44.34363636,164,119,5,111.98375,49.90125,0,2,1,0,100,31,23,0,128.3333333,45,187,149,5,101.113,51.465,77,44,4,149.49,51.595
C Connolly,161,121,3,123.8461538,53.07692308,256,151,7,164.481,42.931,74,29,1,241.2266667,25.44,137,103,3,103.303,67.777,260,161,7,165.356,32.85,94,37,1,242.03,15.64666667
MD Choudhary,89,73,3,113.666,46,81,47,3,118.776,46.792,,,,,,,,,,,55,43,1,124.90375,30.9575,115,77,5,94.24,57.43666667
P Nissanka,115,80,4,130.047,54.857,163,95,6,175.5316667,34.025,,,,,,235,139,6,143.155,49.54,43,36,4,113.36,29.5375,,,,,
SC Ganguly,440,486,17,86.26571429,63.83696429,763,711,30,94.15076923,53.64153846,146,66,5,169.3471429,39.66714286,529,518,19,87.995,62.57,630,642,24,89.5772973,52.58351351,190,103,9,182.19,39.57583333
DJ Hussey,491,504,17,90.3042623,50.12754098,812,562,28,134.3531707,38.18682927,19,9,1,208.335,41.67,134,115,3,103.1790476,57.72904762,778,727,26,101.4776923,39.90461538,410,233,17,147.56,40.19428571
