batter,league_matches,league_runs,league_balls,league_dismissals,league_sr,league_avg,knockout_matches,knockout_runs,knockout_balls,knockout_dismissals,knockout_sr,knockout_avg
RJ Quiney,7,103,102,7,100.98,14.71,,,,,,
RK Singh,62,1398,956,41,146.23,34.1,,,,,,
RM Patidar,45,1259,792,43,158.96,29.28,7.0,353.0,188.0,4.0,187.77,88.25
RN ten Doeschate,18,235,173,12,135.84,19.58,3.0,91.0,62.0,2.0,146.77,45.5
RR Pant,129,3674,2507,106,146.55,34.66,7.0,205.0,137.0,5.0,149.64,41.0
RR Rossouw,22,473,308,20,153.57,23.65,,,,,,
RS Bopara,22,531,453,17,117.22,31.24,,,,,,
RV Uthappa,186,4752,3654,165,130.05,28.8,11.0,202.0,147.0,10.0,137.41,20.2
Rahmanullah Gurbaz,16,301,223,15,134.98,20.07,2.0,62.0,46.0,2.0,134.78,31.0
Ramandeep Singh,26,299,205,16,145.85,18.69,,,,,,
Rashid Khan,63,540,354,40,152.54,13.5,9.0,95.0,52.0,6.0,182.69,15.83
S Anirudha,10,106,95,7,111.58,15.14,2.0,30.0,18.0,1.0,166.67,30.0
S Arora,10,121,77,6,157.14,20.17,,,,,,
S Badrinath,58,1302,1083,41,120.22,31.76,7.0,139.0,129.0,5.0,107.75,27.8
S Dhawan,203,6439,5015,169,128.39,38.1,18.0,330.0,311.0,18.0,106.11,18.33
S Dube,84,2088,1427,65,146.32,32.12,3.0,41.0,37.0,2.0,110.81,20.5
S Gopal,22,180,169,12,106.51,15.0,,,,,,
S Sohal,20,368,292,18,126.03,20.44,,,,,,
S Vidyut,6,123,88,6,139.77,20.5,2.0,22.0,21.0,2.0,104.76,11.0
SA Asnodkar,17,356,298,16,119.46,22.25,2.0,67.0,41.0,2.0,163.41,33.5
SA Yadav,152,4175,2791,123,149.59,33.94,12.0,406.0,293.0,10.0,138.57,40.6
SB Dubey,17,220,143,10,153.85,22.0,,,,,,
SB Styris,10,131,133,7,98.5,18.71,,,,,,
SC Ganguly,56,1349,1263,52,106.81,25.94,,,,,,
SD Hope,9,183,122,7,150.0,26.14,,,,,,
SE Marsh,68,2466,1854,61,133.01,40.43,1.0,23.0,17.0,1.0,135.29,23.0
SE Rutherford,24,477,325,18,146.77,26.5,3.0,43.0,39.0,3.0,110.26,14.33
SK Raina,176,4822,3586,144,134.47,33.49,24.0,714.0,460.0,18.0,155.22,39.67
SK Warne,25,189,204,16,92.65,11.81,2.0,9.0,10.0,1.0,90.0,9.0
SM Curran,53,997,731,40,136.39,24.92,,,,,,
SM Katich,11,241,186,9,129.57,26.78,,,,,,
SM Pollock,8,147,111,8,132.43,18.38,,,,,,
SN Khan,41,714,521,32,137.04,22.31,2.0,32.0,22.0,1.0,145.45,32.0
SN Thakur,40,332,255,26,130.2,12.77,3.0,17.0,8.0,2.0,212.5,8.5
SO Hetmyer,76,1418,942,50,150.53,28.36,9.0,148.0,107.0,6.0,138.32,24.67
SP Fleming,10,196,165,9,118.79,21.78,,,,,,
SP Goswami,16,276,274,14,100.73,19.71,5.0,17.0,21.0,5.0,80.95,3.4
SP Narine,112,1722,1033,90,166.7,19.13,10.0,98.0,68.0,8.0,144.12,12.25
SPD Smith,90,2431,1880,67,129.31,36.28,3.0,64.0,65.0,3.0,98.46,21.33
SR Tendulkar,73,2190,1831,62,119.61,35.32,5.0,144.0,117.0,5.0,123.08,28.8
SR Watson,129,3491,2556,113,136.58,30.89,12.0,389.0,257.0,11.0,151.36,35.36
SS Iyer,132,3929,2881,111,136.38,35.4,12.0,304.0,214.0,7.0,142.06,43.43
SS Prabhudessai,10,126,106,9,118.87,14.0,,,,,,
SS Tiwary,68,1383,1159,48,119.33,28.81,5.0,111.0,85.0,1.0,130.59,111.0
ST Jayasuriya,30,768,532,28,144.36,27.43,,,,,,
STR Binny,60,821,634,37,129.5,22.19,6.0,59.0,49.0,6.0,120.41,9.83
SV Samson,176,5005,3520,150,142.19,33.37,9.0,176.0,151.0,9.0,116.56,19.56
SW Billings,27,503,388,26,129.64,19.35,,,,,,
Sachin Baby,9,126,105,8,120.0,15.75,2.0,18.0,13.0,1.0,138.46,18.0
Salman Butt,7,193,161,7,119.88,27.57,,,,,,
Sameer Rizvi,18,424,293,14,144.71,30.29,,,,,,
Shahbaz Ahmed,35,552,441,24,125.17,23.0,5.0,51.0,48.0,4.0,106.25,12.75
Shakib Al Hasan,41,655,532,31,123.12,21.13,11.0,140.0,107.0,8.0,130.84,17.5
Shashank Singh,39,839,522,22,160.73,38.14,3.0,66.0,38.0,2.0,173.68,33.0
Shubman Gill,116,4007,2840,98,141.09,40.89,14.0,591.0,396.0,13.0,149.24,45.46
Sikandar Raza,9,182,136,7,133.82,26.0,,,,,,
Suryansh Shedge,10,165,101,7,163.37,23.57,,,,,,
T Stubbs,43,986,649,21,151.93,46.95,,,,,,
TG Southee,19,120,107,11,112.15,10.91,,,,,,
TH David,55,1108,612,30,181.05,36.93,4.0,43.0,38.0,4.0,113.16,10.75
TK Curran,9,127,106,5,119.81,25.4,1.0,0.0,1.0,0.0,0.0,
TL Suman,35,636,528,27,120.45,23.56,4.0,40.0,47.0,3.0,85.11,13.33
TM Dilshan,48,1055,934,38,112.96,27.76,2.0,98.0,73.0,2.0,134.25,49.0
TM Head,48,1505,876,43,171.8,35.0,4.0,51.0,39.0,4.0,130.77,12.75
Tilak Varma,61,1720,1208,46,142.38,37.39,4.0,138.0,76.0,4.0,181.58,34.5
UBT Chand,20,300,300,20,100.0,15.0,,,,,,
UT Khawaja,6,127,100,5,127.0,25.4,,,,,,
UT Yadav,45,204,193,19,105.7,10.74,3.0,4.0,8.0,1.0,50.0,4.0
Urvil Patel,10,197,96,10,205.21,19.7,,,,,,
V Kohli,256,8832,6536,213,135.13,41.46,19.0,514.0,394.0,16.0,130.46,32.12
V Nigam,10,157,89,6,176.4,26.17,,,,,,
V Sehwag,97,2544,1636,88,155.5,28.91,7.0,184.0,119.0,7.0,154.62,26.29
V Shankar,60,1172,912,43,128.51,27.26,3.0,61.0,38.0,3.0,160.53,20.33
V Suryavanshi,21,835,373,21,223.86,39.76,2.0,193.0,76.0,2.0,253.95,96.5
VR Iyer,55,1392,1001,48,139.06,29.0,7.0,285.0,180.0,5.0,158.33,57.0
VVS Laxman,20,282,267,16,105.62,17.62,,,,,,
W Jaffer,8,130,121,7,107.44,18.57,,,,,,
WG Jacks,26,602,379,21,158.84,28.67,,,,,,
WP Saha,133,2646,2099,109,126.06,24.28,10.0,288.0,201.0,9.0,143.28,32.0
Washington Sundar,53,761,571,37,133.27,20.57,6.0,127.0,85.0,4.0,149.41,31.75
Y Nagar,20,285,259,14,110.04,20.36,,,,,,
Y Venugopal Rao,49,962,805,40,119.5,24.05,3.0,23.0,31.0,2.0,74.19,11.5
YBK Jaiswal,75,2430,1578,69,153.99,35.22,7.0,163.0,119.0,7.0,136.97,23.29
YK Pathan,141,2924,2030,96,144.04,30.46,12.0,298.0,215.0,9.0,138.6,33.11
YV Takawale,10,192,178,8,107.87,24.0,,,,,,
Yuvraj Singh,121,2651,2039,102,130.01,25.99,5.0,103.0,83.0,5.0,124.1,20.6
Z Khan,25,95,117,12,81.2,7.92,2.0,22.0,24.0,2.0,91.67,11.0
